ville1,ville2,distance
Paris France 48.8534951 2.3483915,Londres  Angleterre 51.5073219 -0.1276474,343.7031788540028
Paris France 48.8534951 2.3483915,Hong Kong  Chine 22.2793278 114.1628131,9629.936839440103
Paris France 48.8534951 2.3483915,New York  États-Unis d'Amérique 40.7127281 -74.0060152,5837.1161249608285
Paris France 48.8534951 2.3483915,Montréal  Canada 45.5031824 -73.5698065,5505.119971999071
Paris France 48.8534951 2.3483915,Berlin  Allemagne 52.5170365 13.3888599,876.7487318907749
Londres  Angleterre 51.5073219 -0.1276474,Hong Kong  Chine 22.2793278 114.1628131,9626.263782905331
Londres  Angleterre 51.5073219 -0.1276474,New York  États-Unis d'Amérique 40.7127281 -74.0060152,5570.240943188289
Londres  Angleterre 51.5073219 -0.1276474,Montréal  Canada 45.5031824 -73.5698065,5220.905840370574
Londres  Angleterre 51.5073219 -0.1276474,Berlin  Allemagne 52.5170365 13.3888599,930.4603188327794
Hong Kong  Chine 22.2793278 114.1628131,New York  États-Unis d'Amérique 40.7127281 -74.0060152,12959.902280911001
Hong Kong  Chine 22.2793278 114.1628131,Montréal  Canada 45.5031824 -73.5698065,12437.482348876572
Hong Kong  Chine 22.2793278 114.1628131,Berlin  Allemagne 52.5170365 13.3888599,8753.392299260498
New York  États-Unis d'Amérique 40.7127281 -74.0060152,Montréal  Canada 45.5031824 -73.5698065,533.8474749609898
New York  États-Unis d'Amérique 40.7127281 -74.0060152,Berlin  Allemagne 52.5170365 13.3888599,6384.173222852051
Montréal  Canada 45.5031824 -73.5698065,Berlin  Allemagne 52.5170365 13.3888599,5997.729421383381
